행정구역,총인구수,연령구간인구수,2020년12월_계_0~9세,2020년12월_계_10~19세,2020년12월_계_20~29세,2020년12월_계_30~39세,2020년12월_계_40~49세,2020년12월_계_50~59세,2020년12월_계_60~69세,2020년12월_계_70~79세,2020년12월_계_80~89세,2020년12월_계_90~99세,2020년12월_계_100세 이상
서울특별시  (1100000000),9668465.0,9668465.0,623745.0,781866.0,1460411.0,1475106.0,1528182.0,1523556.0,1243954.0,704076.0,278094.0,42683.0,6792.0
서울특별시 종로구 (1111000000),149384.0,149384.0,7527.0,11013.0,23416.0,19943.0,22231.0,25459.0,19948.0,12500.0,5978.0,1093.0,276.0
서울특별시 종로구 청운효자동(1111051500),12431.0,12431.0,827.0,1165.0,1596.0,1694.0,2151.0,1976.0,1388.0,1010.0,529.0,75.0,20.0
서울특별시 종로구 사직동(1111053000),9526.0,9526.0,579.0,692.0,1237.0,1441.0,1478.0,1560.0,1195.0,768.0,462.0,93.0,21.0
서울특별시 종로구 삼청동(1111054000),2640.0,2640.0,105.0,191.0,320.0,359.0,369.0,417.0,413.0,281.0,149.0,30.0,6.0
서울특별시 종로구 부암동(1111055000),10022.0,10022.0,553.0,927.0,1340.0,1239.0,1630.0,1725.0,1320.0,806.0,392.0,78.0,12.0
서울특별시 종로구 평창동(1111056000),18391.0,18391.0,1170.0,1645.0,2451.0,2236.0,2763.0,3267.0,2512.0,1386.0,772.0,166.0,23.0
서울특별시 종로구 무악동(1111057000),8546.0,8546.0,694.0,1014.0,936.0,943.0,1505.0,1419.0,1003.0,650.0,311.0,52.0,19.0
서울특별시 종로구 교남동(1111058000),10477.0,10477.0,859.0,861.0,1277.0,1708.0,1850.0,1623.0,1159.0,746.0,325.0,54.0,15.0
서울특별시 종로구 가회동(1111060000),4325.0,4325.0,201.0,343.0,495.0,572.0,768.0,685.0,588.0,436.0,189.0,38.0,10.0
서울특별시 종로구 종로1.2.3.4가동(1111061500),7256.0,7256.0,188.0,209.0,880.0,942.0,962.0,1339.0,1399.0,834.0,369.0,90.0,44.0
서울특별시 종로구 종로5.6가동(1111063000),5242.0,5242.0,118.0,231.0,1080.0,710.0,587.0,977.0,750.0,527.0,215.0,38.0,9.0
서울특별시 종로구 이화동(1111064000),7588.0,7588.0,236.0,428.0,1680.0,1239.0,972.0,1106.0,946.0,610.0,310.0,47.0,14.0
서울특별시 종로구 혜화동(1111065000),16799.0,16799.0,689.0,1313.0,4483.0,2079.0,2295.0,2304.0,1631.0,1250.0,636.0,98.0,21.0
서울특별시 종로구 창신제1동(1111067000),5129.0,5129.0,127.0,245.0,609.0,539.0,637.0,1114.0,1030.0,546.0,229.0,44.0,9.0
서울특별시 종로구 창신제2동(1111068000),8318.0,8318.0,245.0,507.0,1166.0,894.0,1103.0,1833.0,1383.0,811.0,309.0,53.0,14.0
